Ligand SMILES,Ki (nM),log10Ki,active
NC(=N)c1cccc(CN2CCN(CC2=O)S(=O)(=O)c2cc3ccc(Cl)cc3s2)c1,4000.0,3.6020599913279625,1
NC(=N)c1ccc(CN2CCN(CC2=O)S(=O)(=O)c2cc3ccc(Cl)cc3s2)cc1,4000.0,3.6020599913279625,1
OCCn1c(CN2CCN(CC2=O)S(=O)(=O)c2cc3ccc(Cl)cc3s2)cc2cnccc12,4000.0,3.6020599913279625,1
Clc1ccc(C=CS(=O)(=O)N2CCN(Cc3cc4cnccc4[nH]3)C(=O)C2)s1,4000.0,3.6020599913279625,1
COC(=O)[C@H](Cc1cccc(c1)C(N)=N)[C@@H](C)NC(=O)c1ccc(cc1)-c1cccc(CN)c1,3000.0,3.4771212547196626,1
CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(nn2-c2cccc(CN)c2)C(F)(F)F)c(F)c1,6000.0,3.7781512503836434,1
CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(F)c1,6300.0,3.7993405494535817,1
Nc1noc2ccc(cc12)-n1nc(cc1C(=O)Nc1ccc(cc1F)-c1ccccc1S(N)(=O)=O)C(F)(F)F,2300.0,3.361727836017593,1
Nc1noc2ccc(cc12)-n1nc(cc1C(=O)Nc1ccc(cc1F)-c1ccncc1S(N)(=O)=O)C(F)(F)F,740.0,2.8692317197309762,1
Cn1ccnc1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(F)c1,34.0,1.5314789170422551,1
Cc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(F)c1,900.0,2.9542425094393248,1
Nc1noc2ccc(cc12)-n1nc(cc1C(=O)Nc1ccc(cc1F)C(=O)N1CCCC1)C(F)(F)F,8000.0,3.9030899869919438,1
Nc1noc2ccc(cc12)-n1nc(cc1C(=O)Nc1ccc(cc1F)N1CCOCC1)C(F)(F)F,20000.0,4.301029995663981,0
Cc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(c1)C#N,900.0,2.9542425094393248,1
Cc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)cc1,1100.0,3.041392685158225,1
Cc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(c1)-n1ccnc1C,800.0,2.9030899869919438,1
COc1cc(ccc1NC(=O)c1cc(nn1-c1ccc2onc(N)c2c1)C(F)(F)F)-n1ccnc1C,200.0,2.3010299956639813,1
Cc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(c1)C(N)=O,21000.0,4.3222192947339195,0
CCc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(F)c1,900.0,2.9542425094393248,1
CC(C)c1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(F)c1,900.0,2.9542425094393248,1
Nc1noc2ccc(cc12)-n1nc(cc1C(=O)Nc1ccc(cc1F)-n1ccnc1CO)C(F)(F)F,1700.0,3.230448921378274,1
NCc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(F)c1,3500.0,3.5440680443502757,1
CNCc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(F)c1,1700.0,3.230448921378274,1
CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(nn2-c2ccc3onc(N)c3c2)C(F)(F)F)c(F)c1,600.0,2.7781512503836434,1
Nc1noc2ccc(cc12)-n1nc(cc1C(=O)Nc1ccc(cc1F)-n1ccnc1CN1CCCC1)C(F)(F)F,600.0,2.7781512503836434,1
COc1ccc(cc1)-n1nc(C(N)=O)c2ncn(-c3ccc(cc3)-c3ccccc3CN3CCCC3)c(=O)c12,1600.0,3.2041199826559246,1
COc1ccc(cc1)-n1nc(C(N)=O)c2ncn(-c3ccc(cc3F)-c3ccccc3CN3CCCC3)c(=O)c12,1800.0,3.255272505103306,1
COc1ccc(cc1)-n1nc(C#N)c2ncn(-c3ccc(cc3)-c3ccccc3CN3CCCC3)c(=O)c12,1100.0,3.041392685158225,1
CN(C)Cc1ccccc1-c1ccc(cc1)-n1c(C)nc2c(C)nn(-c3ccc4onc(N)c4c3)c2c1=O,305.0,2.484299839346786,1
Cc1nn(-c2ccc3onc(N)c3c2)c2c1nc(C)n(-c1ccc(cc1)-c1ccccc1CN1CC[C@@H](O)C1)c2=O,245.0,2.3891660843645326,1
CN(C)Cc1ccccc1-c1ccc(cc1)-n1c(C)nc2c(nn(-c3ccc4onc(N)c4c3)c2c1=O)C(F)(F)F,130.0,2.113943352306837,1
Nc1noc2ccc(cc12)-n1nc(c2NCN(C(=O)c12)c1ccc(cc1)-c1ccccc1CN1CC[C@@H](O)C1)C(F)(F)F,130.0,2.113943352306837,1
COc1cc(ccc1OCc1ccccc1)[C@@H](Nc1ccc(cc1)C(N)=N)C(=O)N[C@H](C(O)=O)c1ccccc1,35.0,1.5440680443502757,1
COc1cc(C(Nc2ccc(cc2)C(N)=N)C(=O)N[C@H](C(O)=O)c2ccccc2)c(cc1OCc1ccccc1)S(=O)(=O)c1ccccc1,540.0,2.7323937598229686,1
COc1cc(C(Nc2ccc(cc2)C(N)=N)C(=O)N[C@H](C(O)=O)c2ccccc2)c(cc1OCc1ccccc1)C(=O)Cc1ccccc1,6400.0,3.806179973983887,1
COc1cc(ccc1OCc1ccccc1)C(Nc1ccc(cc1)C(N)=N)C(O)=O,74.0,1.8692317197309762,1
CCOc1cc(ccc1OCc1ccccc1)C(Nc1ccc(cc1)C(N)=N)C(O)=O,85.0,1.9294189257142926,1
CCOc1cc(OCC)cc(c1)C(Nc1ccc(cc1)C(N)=N)C(O)=O,35000.0,4.544068044350276,0
CCOc1cc(OC2CCOCC2)cc(c1)C(Nc1ccc(cc1)C(N)=N)C(O)=O,6600.0,3.8195439355418688,1
CCc1cc(OC2CCOCC2)cc(c1)C(Nc1ccc(cc1)C(N)=N)C(O)=O,1600.0,3.2041199826559246,1
NC(=N)c1ccc(NC(C(O)=O)c2cc(OC3CCOCC3)cc(C=C)c2)cc1,2900.0,3.462397997898956,1
NC(=N)c1ccc(NC(C(O)=O)c2cc(OC3CCOCC3)cc(c2)C#C)cc1,4700.0,3.6720978579357175,1
CCOc1cc(O[C@H]2CC[C@H](O)CC2)cc(c1)C(Nc1ccc(cc1)C(N)=N)C(O)=O,5500.0,3.7403626894942437,1
CCOc1cc(OC2CCN(CC2)S(C)(=O)=O)cc(c1)C(Nc1ccc(cc1)C(N)=N)C(O)=O,3500.0,3.5440680443502757,1
